Question	Answer	Rank	Point	Judge
Q388_R14	Q388_R14_C1	9	-0.7026325395319826	False
Q388_R14	Q388_R14_C2	7	-0.655934641105993	False
Q388_R14	Q388_R14_C3	5	-0.5860236605445097	False
Q388_R14	Q388_R14_C4	4	-0.5365786660469263	False
Q388_R14	Q388_R14_C5	2	-0.2712198428601529	False
Q388_R14	Q388_R14_C6	8	-0.6818771934890604	False
Q388_R14	Q388_R14_C7	3	-0.4628752397338729	False
Q388_R14	Q388_R14_C8	6	-0.6181375145908001	False
Q388_R14	Q388_R14_C9	1	-0.0922479563836483	False
Q388_R14	Q388_R14_C10	10	-0.8253542446365814	False
Q388_R21	Q388_R21_C1	9	-0.5347055618171497	False
Q388_R21	Q388_R21_C2	5	-0.2799573395694455	False
Q388_R21	Q388_R21_C3	4	-0.1819481291533269	False
Q388_R21	Q388_R21_C4	2	0.2144895268918745	True
Q388_R21	Q388_R21_C5	3	0.0134699608977755	True
Q388_R21	Q388_R21_C6	10	-0.6135489634115867	False
Q388_R21	Q388_R21_C7	8	-0.4926496903734105	False
Q388_R21	Q388_R21_C8	6	-0.4198666544113825	False
Q388_R21	Q388_R21_C9	1	0.5335892879246931	True
Q388_R21	Q388_R21_C10	7	-0.4869298011249785	False
Q388_R23	Q388_R23_C1	9	-0.4169821025914673	False
Q388_R23	Q388_R23_C2	10	-0.594445732949745	False
Q388_R23	Q388_R23_C3	1	0.1884439205688441	True
Q388_R23	Q388_R23_C4	7	-0.1675771538885095	False
Q388_R23	Q388_R23_C5	6	-0.165950917435246	False
Q388_R23	Q388_R23_C6	5	-0.0890043344570459	False
Q388_R23	Q388_R23_C7	4	-0.0647393331509991	False
Q388_R23	Q388_R23_C8	3	-0.0465089607169324	False
Q388_R23	Q388_R23_C9	2	-0.005123025161167	False
Q388_R23	Q388_R23_C10	8	-0.3259164766149218	False
Q388_R28	Q388_R28_C1	3	-0.4058500574420305	False
Q388_R28	Q388_R28_C2	6	-0.7391408981490104	False
Q388_R28	Q388_R28_C3	8	-0.9650877348158384	False
Q388_R28	Q388_R28_C4	5	-0.6753211620651318	False
Q388_R28	Q388_R28_C5	10	-0.9734075684127724	False
Q388_R28	Q388_R28_C6	7	-0.8910694992686037	False
Q388_R28	Q388_R28_C7	2	0.2359403017056722	True
Q388_R28	Q388_R28_C8	4	-0.4068612517304015	False
Q388_R28	Q388_R28_C9	1	0.3062687003098234	True
Q388_R28	Q388_R28_C10	9	-0.968353679242946	False
Q388_R31	Q388_R31_C1	5	-0.4361769362479904	False
Q388_R31	Q388_R31_C2	7	-0.6272053276090941	False
Q388_R31	Q388_R31_C3	6	-0.5041393516937953	False
Q388_R31	Q388_R31_C4	1	0.999999998591682	True
Q388_R31	Q388_R31_C5	8	-0.6449963182013105	False
Q388_R31	Q388_R31_C6	9	-0.65629094542733	False
Q388_R31	Q388_R31_C7	4	0.0878865828787078	True
Q388_R31	Q388_R31_C8	10	-0.8006735684756725	False
Q388_R31	Q388_R31_C9	3	0.2893027174496683	True
Q388_R31	Q388_R31_C10	2	0.9999950232739954	True
Q388_R42	Q388_R42_C1	3	-0.836076305715395	False
Q388_R42	Q388_R42_C2	6	-0.9099058107217864	False
Q388_R42	Q388_R42_C3	4	-0.8597993945291562	False
Q388_R42	Q388_R42_C4	7	-0.9185961553687524	False
Q388_R42	Q388_R42_C5	9	-0.9265744674041878	False
Q388_R42	Q388_R42_C6	10	-0.9313129334486332	False
Q388_R42	Q388_R42_C7	2	-0.7837436987844653	False
Q388_R42	Q388_R42_C8	8	-0.92321649654028	False
Q388_R42	Q388_R42_C9	1	-0.7663213769241797	False
Q388_R42	Q388_R42_C10	5	-0.8931816748010799	False
Q388_R45	Q388_R45_C1	5	-0.876646812144261	False
Q388_R45	Q388_R45_C2	3	-0.8503164810894268	False
Q388_R45	Q388_R45_C3	9	-0.9302487883581816	False
Q388_R45	Q388_R45_C4	2	-0.3043679155162823	False
Q388_R45	Q388_R45_C5	7	-0.9106447803803794	False
Q388_R45	Q388_R45_C6	4	-0.8587278691285758	False
Q388_R45	Q388_R45_C7	6	-0.8910830773550278	False
Q388_R45	Q388_R45_C8	8	-0.929472641281555	False
Q388_R45	Q388_R45_C9	10	-0.9588778122867434	False
Q388_R45	Q388_R45_C10	1	0.1936327531984218	True
Q388_R48	Q388_R48_C1	1	0.8442718543994121	True
Q388_R48	Q388_R48_C2	10	-0.985575287879725	False
Q388_R48	Q388_R48_C3	3	-0.8437576724681357	False
Q388_R48	Q388_R48_C4	5	-0.8722858228098875	False
Q388_R48	Q388_R48_C5	7	-0.9259221738573452	False
Q388_R48	Q388_R48_C6	4	-0.8500731397198942	False
Q388_R48	Q388_R48_C7	2	0.0255125674615177	True
Q388_R48	Q388_R48_C8	6	-0.9211952115368878	False
Q388_R48	Q388_R48_C9	8	-0.9531297991687336	False
Q388_R48	Q388_R48_C10	9	-0.9626908304145948	False
Q389_R7	Q389_R7_C1	7	-0.8555618033416366	False
Q389_R7	Q389_R7_C2	10	-0.8817075648213584	False
Q389_R7	Q389_R7_C3	4	-0.8019690237333523	False
Q389_R7	Q389_R7_C4	6	-0.8340753953957132	False
Q389_R7	Q389_R7_C5	5	-0.8100150002527173	False
Q389_R7	Q389_R7_C6	3	-0.796511400118344	False
Q389_R7	Q389_R7_C7	8	-0.857568921713801	False
Q389_R7	Q389_R7_C8	9	-0.8746038523786233	False
Q389_R7	Q389_R7_C9	1	0.6795177912239352	True
Q389_R7	Q389_R7_C10	2	-0.7269275872737864	False
Q389_R25	Q389_R25_C1	6	-0.8871475727488967	False
Q389_R25	Q389_R25_C2	4	-0.8855928330490705	False
Q389_R25	Q389_R25_C3	9	-0.9460672105634064	False
Q389_R25	Q389_R25_C4	8	-0.9257373155055132	False
Q389_R25	Q389_R25_C5	5	-0.8863606381032969	False
Q389_R25	Q389_R25_C6	2	-0.6486469276085967	False
Q389_R25	Q389_R25_C7	1	0.9261084273825048	True
Q389_R25	Q389_R25_C8	10	-0.9998762523889106	False
Q389_R25	Q389_R25_C9	3	-0.8691926976429958	False
Q389_R25	Q389_R25_C10	7	-0.9027945926496252	False
Q389_R38	Q389_R38_C1	3	-0.1867775914294998	False
Q389_R38	Q389_R38_C2	2	0.5170747494186845	True
Q389_R38	Q389_R38_C3	5	-0.8884151776221216	False
Q389_R38	Q389_R38_C4	7	-0.8893057926235399	False
Q389_R38	Q389_R38_C5	8	-0.9005760131719227	False
Q389_R38	Q389_R38_C6	4	-0.7720186767027466	False
Q389_R38	Q389_R38_C7	6	-0.8892133651978327	False
Q389_R38	Q389_R38_C8	9	-0.9279057548808816	False
Q389_R38	Q389_R38_C9	1	0.7423031640150581	True
Q389_R38	Q389_R38_C10	10	-0.9965398417666782	False
Q389_R39	Q389_R39_C1	7	-0.966668568148805	False
Q389_R39	Q389_R39_C2	5	-0.946309773788046	False
Q389_R39	Q389_R39_C3	2	-0.8990687140641567	False
Q389_R39	Q389_R39_C4	1	-0.8515522824289301	False
Q389_R39	Q389_R39_C5	6	-0.962713493197981	False
Q389_R39	Q389_R39_C6	4	-0.9398716110853108	False
Q389_R39	Q389_R39_C7	3	-0.9309700112976846	False
Q389_R39	Q389_R39_C8	10	-0.9859076692351144	False
Q389_R39	Q389_R39_C9	9	-0.9853945290949748	False
Q389_R39	Q389_R39_C10	8	-0.9699433726615498	False
Q390_R16	Q390_R16_C1	5	-0.8262061659561986	False
Q390_R16	Q390_R16_C2	6	-0.8346585592976041	False
Q390_R16	Q390_R16_C3	3	-0.7357616228113886	False
Q390_R16	Q390_R16_C4	2	-0.200396824585485	False
Q390_R16	Q390_R16_C5	4	-0.7780498298267606	False
Q390_R16	Q390_R16_C6	7	-0.8590562909746011	False
Q390_R16	Q390_R16_C7	1	-0.170973602686169	False
Q390_R16	Q390_R16_C8	10	-0.9663036340392775	False
Q390_R16	Q390_R16_C9	9	-0.8886418168341947	False
Q390_R16	Q390_R16_C10	8	-0.8876759190112375	False
Q390_R33	Q390_R33_C1	1	-0.7021914321097025	False
Q390_R33	Q390_R33_C2	10	-0.8762208094650221	False
Q390_R33	Q390_R33_C3	9	-0.8320898555291811	False
Q390_R33	Q390_R33_C4	3	-0.7660086654282141	False
Q390_R33	Q390_R33_C5	5	-0.8006538314181071	False
Q390_R33	Q390_R33_C6	4	-0.7957071168127081	False
Q390_R33	Q390_R33_C7	2	-0.7061330006490731	False
Q390_R33	Q390_R33_C8	7	-0.8174033490109132	False
Q390_R33	Q390_R33_C9	8	-0.8306085175040767	False
Q390_R33	Q390_R33_C10	6	-0.8022481743744265	False
Q390_R39	Q390_R39_C1	7	-0.7037872583522671	False
Q390_R39	Q390_R39_C2	1	0.3712969063150684	True
Q390_R39	Q390_R39_C3	8	-0.7067827100296595	False
Q390_R39	Q390_R39_C4	9	-0.7278373749212719	False
Q390_R39	Q390_R39_C5	3	-0.2372920587853324	False
Q390_R39	Q390_R39_C6	6	-0.6212769050692315	False
Q390_R39	Q390_R39_C7	10	-0.7458040904090986	False
Q390_R39	Q390_R39_C8	2	-0.06308228325326	False
Q390_R39	Q390_R39_C9	4	-0.4444459083990458	False
Q390_R39	Q390_R39_C10	5	-0.5447893614740338	False
Q390_R69	Q390_R69_C1	5	-0.8629637789027871	False
Q390_R69	Q390_R69_C2	9	-0.8926369768255427	False
Q390_R69	Q390_R69_C3	8	-0.8815357494090283	False
Q390_R69	Q390_R69_C4	10	-0.9370782890754688	False
Q390_R69	Q390_R69_C5	2	-0.0595845987152193	False
Q390_R69	Q390_R69_C6	4	-0.8510278016746773	False
Q390_R69	Q390_R69_C7	1	0.7620535675320819	True
Q390_R69	Q390_R69_C8	6	-0.8636656196219754	False
Q390_R69	Q390_R69_C9	3	-0.7670045225476414	False
Q390_R69	Q390_R69_C10	7	-0.8664431173871445	False
Q391_R23	Q391_R23_C1	3	-0.5510053010188916	False
Q391_R23	Q391_R23_C2	2	-0.4118057826988944	False
Q391_R23	Q391_R23_C3	7	-0.7264528465687365	False
Q391_R23	Q391_R23_C4	1	0.0705828743778511	True
Q391_R23	Q391_R23_C5	10	-0.7724992538643816	False
Q391_R23	Q391_R23_C6	9	-0.7601048783135864	False
Q391_R23	Q391_R23_C7	6	-0.7216804617344721	False
Q391_R23	Q391_R23_C8	8	-0.7278017255274407	False
Q391_R23	Q391_R23_C9	5	-0.6182385070416567	False
Q391_R23	Q391_R23_C10	5	-0.6182385070416567	False
Q391_R31	Q391_R31_C1	9	-0.6340152860937307	False
Q391_R31	Q391_R31_C2	3	-0.0775113474136497	False
Q391_R31	Q391_R31_C3	4	-0.5475556273722515	False
Q391_R31	Q391_R31_C4	2	0.2889721495032045	True
Q391_R31	Q391_R31_C5	6	-0.588369003408483	False
