Question	Answer	Rank	Point	Judge
Q388_R14	Q388_R14_C1	6	0.3911135	False
Q388_R21	Q388_R14_C2	10	0.14877498	False
Q388_R23	Q388_R14_C3	9	0.24150887	False
Q388_R28	Q388_R14_C4	7	0.35631645	False
Q388_R31	Q388_R14_C5	2	0.5050092	True
Q388_R42	Q388_R14_C6	1	0.51866806	True
Q388_R45	Q388_R14_C7	4	0.3992701	False
Q388_R48	Q388_R14_C8	3	0.48433542	False
Q389_R7	Q388_R14_C9	5	0.39545673	False
Q389_R25	Q388_R14_C10	8	0.30896774	False
Q389_R38	Q388_R21_C1	10	0.13459986	False
Q389_R39	Q388_R21_C2	8	0.14985994	False
Q390_R16	Q388_R21_C3	6	0.18420619	False
Q390_R33	Q388_R21_C4	4	0.24102893	False
Q390_R39	Q388_R21_C5	2	0.3199567	False
Q390_R69	Q388_R21_C6	5	0.21535906	False
Q391_R23	Q388_R21_C7	9	0.14270455	False
Q391_R31	Q388_R21_C8	3	0.25242847	False
Q392_R3	Q388_R21_C9	1	0.42719093	False
Q392_R18	Q388_R21_C10	7	0.17334825	False
Q392_R20	Q388_R23_C1	8	0.34017086	False
Q392_R33	Q388_R23_C2	4	0.5019716	True
Q392_R40	Q388_R23_C3	3	0.51776624	True
Q393_R16	Q388_R23_C4	9	0.31061178	False
Q393_R22	Q388_R23_C5	10	0.10688123	False
Q393_R31	Q388_R23_C6	7	0.36810893	False
Q394_R2	Q388_R23_C7	5	0.44299567	False
Q394_R22	Q388_R23_C8	6	0.37129274	False
Q395_R24	Q388_R23_C9	2	0.6488515	True
Q395_R43	Q388_R23_C10	1	0.77646077	True
Q395_R71	Q388_R28_C1	2	0.5353044	True
Q396_R20	Q388_R28_C2	6	0.42884493	False
Q396_R41	Q388_R28_C3	8	0.40630406	False
Q396_R45	Q388_R28_C4	7	0.4234333	False
Q396_R62	Q388_R28_C5	3	0.5073413	True
Q397_R5	Q388_R28_C6	9	0.3292642	False
Q397_R8	Q388_R28_C7	4	0.48519602	False
Q397_R35	Q388_R28_C8	1	0.57464683	True
Q397_R43	Q388_R28_C9	10	0.19439551	False
Q397_R72	Q388_R28_C10	5	0.45904067	False
Q398_R8	Q388_R31_C1	3	0.44104338	False
Q398_R23	Q388_R31_C2	4	0.40939796	False
Q398_R29	Q388_R31_C3	7	0.27518725	False
Q398_R138	Q388_R31_C4	5	0.36604646	False
Q399_R41	Q388_R31_C5	9	0.23160782	False
Q399_R43	Q388_R31_C6	9	0.23160782	False
Q399_R48	Q388_R31_C7	2	0.7314424	True
Q400_R12	Q388_R31_C8	10	0.23145118	False
Q400_R17	Q388_R31_C9	1	0.7384355	True
Q400_R37	Q388_R31_C10	6	0.34533337	False
Q400_R52	Q388_R42_C1	3	0.6264251	True
Q400_R62	Q388_R42_C2	8	0.42125988	False
Q401_R7	Q388_R42_C3	1	0.6732191	True
Q401_R64	Q388_R42_C4	10	0.2549641	False
Q402_R29	Q388_R42_C5	9	0.38490644	False
Q402_R60	Q388_R42_C6	5	0.5444255	True
Q402_R71	Q388_R42_C7	4	0.62067926	True
Q402_R78	Q388_R42_C8	7	0.4420663	False
Q403_R7	Q388_R42_C9	2	0.6477961	True
Q403_R24	Q388_R42_C10	6	0.45941812	False
Q403_R29	Q388_R45_C1	9	0.25325984	False
Q403_R48	Q388_R45_C2	2	0.49906117	False
Q404_R88	Q388_R45_C3	8	0.3060425	False
Q404_R89	Q388_R45_C4	5	0.39055586	False
Q404_R94	Q388_R45_C5	10	0.25167918	False
Q404_R117	Q388_R45_C6	6	0.38276625	False
Q405_R28	Q388_R45_C7	1	0.5215455	True
Q405_R62	Q388_R45_C8	7	0.3254711	False
Q405_R74	Q388_R45_C9	4	0.40165856	False
Q405_R79	Q388_R45_C10	3	0.4341013	False
Q406_R78	Q388_R48_C1	2	0.72454715	True
